date,week,region,deaths,tests
2020-07-27,31,PL43,1.0,0.0
2020-07-27,31,PL82,1.0,0.0
2020-07-28,31,PL21,1.0,0.0
2020-07-28,31,PL22,3.0,0.0
2020-07-28,31,PL41,1.0,0.0
2020-07-28,31,PL84,1.0,0.0
2020-07-29,31,PL41,2.0,9790.0
2020-07-29,31,PL51,3.0,9871.0
2020-07-29,31,PL71,2.0,9536.0
2020-07-29,31,PL82,1.0,2823.0
2020-07-29,31,PL84,1.0,2597.0
2020-07-29,31,PL9,3.0,25280.0
2020-07-30,31,PL21,7.0,0.0
2020-07-30,31,PL22,3.0,0.0
2020-07-30,31,PL41,1.0,0.0
2020-07-30,31,PL43,1.0,0.0
2020-07-30,31,PL52,1.0,0.0
2020-07-30,31,PL84,1.0,0.0
2020-07-30,31,PL9,1.0,0.0
2020-07-31,31,PL21,3.0,0.0
2020-07-31,31,PL43,1.0,0.0
2020-07-31,31,PL9,3.0,0.0
2020-08-01,31,PL22,4.0,0.0
2020-08-01,31,PL52,1.0,0.0
2020-08-02,31,PL21,4.0,0.0
2020-08-02,31,PL22,1.0,0.0
2020-08-02,31,PL41,1.0,0.0
2020-08-02,31,PL52,1.0,0.0
2020-08-02,31,PL71,1.0,0.0
2020-08-02,31,PL72,2.0,0.0
2020-08-03,32,PL84,1.0,3155.0
2020-08-04,32,PL21,1.0,0.0
2020-08-04,32,PL22,2.0,0.0
2020-08-04,32,PL41,1.0,0.0
2020-08-04,32,PL82,2.0,0.0
2020-08-05,32,PL21,3.0,0.0
2020-08-05,32,PL22,1.0,0.0
2020-08-05,32,PL43,2.0,0.0
2020-08-05,32,PL51,1.0,0.0
2020-08-05,32,PL71,3.0,0.0
2020-08-05,32,PL81,1.0,0.0
2020-08-05,32,PL9,7.0,0.0
2020-08-06,32,PL21,1.0,0.0
2020-08-06,32,PL22,5.0,0.0
2020-08-06,32,PL41,1.0,0.0
2020-08-06,32,PL71,4.0,0.0
2020-08-06,32,PL72,1.0,0.0
2020-08-06,32,PL82,4.0,0.0
2020-08-06,32,PL9,2.0,0.0
2020-08-07,32,PL21,3.0,0.0
2020-08-07,32,PL22,2.0,0.0
