date,week,region,tests,confirmed,deaths,recovered
2020-03-28,13,CZ031,0.0,7.0,0.0,0.0
2020-03-28,13,CZ032,0.0,25.0,0.0,0.0
2020-03-28,13,CZ041,0.0,12.0,1.0,1.0
2020-03-28,13,CZ042,0.0,9.0,0.0,2.0
2020-03-28,13,CZ051,0.0,16.0,0.0,0.0
2020-03-28,13,CZ052,0.0,19.0,0.0,1.0
2020-03-28,13,CZ053,0.0,8.0,0.0,0.0
2020-03-28,13,CZ063,0.0,21.0,0.0,0.0
2020-03-28,13,CZ064,0.0,10.0,0.0,0.0
2020-03-28,13,CZ071,0.0,28.0,1.0,0.0
2020-03-28,13,CZ072,0.0,10.0,0.0,0.0
2020-03-28,13,CZ080,0.0,10.0,0.0,0.0
2020-03-29,13,CZ010,0.0,33.0,2.0,4.0
2020-03-29,13,CZ020,0.0,7.0,1.0,1.0
2020-03-29,13,CZ031,0.0,1.0,0.0,1.0
2020-03-29,13,CZ032,0.0,2.0,0.0,0.0
2020-03-29,13,CZ041,0.0,4.0,0.0,2.0
2020-03-29,13,CZ042,0.0,25.0,1.0,1.0
2020-03-29,13,CZ051,0.0,17.0,0.0,0.0
2020-03-29,13,CZ052,0.0,5.0,0.0,0.0
2020-03-29,13,CZ053,0.0,4.0,1.0,0.0
2020-03-29,13,CZ063,0.0,1.0,1.0,0.0
2020-03-29,13,CZ064,0.0,17.0,0.0,4.0
2020-03-29,13,CZ071,0.0,20.0,0.0,0.0
2020-03-29,13,CZ072,0.0,14.0,0.0,2.0
2020-03-29,13,CZ080,0.0,9.0,0.0,1.0
2020-03-30,14,CZ010,0.0,37.0,4.0,8.0
2020-03-30,14,CZ020,0.0,14.0,0.0,1.0
2020-03-30,14,CZ031,0.0,8.0,0.0,1.0
2020-03-30,14,CZ032,0.0,22.0,0.0,2.0
2020-03-30,14,CZ041,0.0,6.0,0.0,2.0
2020-03-30,14,CZ042,0.0,30.0,0.0,6.0
2020-03-30,14,CZ051,0.0,5.0,0.0,0.0
2020-03-30,14,CZ052,0.0,7.0,0.0,1.0
2020-03-30,14,CZ053,0.0,5.0,0.0,1.0
2020-03-30,14,CZ063,0.0,5.0,0.0,0.0
2020-03-30,14,CZ064,0.0,11.0,0.0,1.0
2020-03-30,14,CZ071,0.0,19.0,0.0,1.0
2020-03-30,14,CZ072,0.0,2.0,0.0,1.0
2020-03-30,14,CZ080,0.0,13.0,1.0,3.0
2020-03-31,14,CZ010,0.0,55.0,3.0,7.0
2020-03-31,14,CZ020,0.0,31.0,1.0,0.0
2020-03-31,14,CZ031,0.0,8.0,0.0,1.0
2020-03-31,14,CZ032,0.0,25.0,0.0,3.0
2020-03-31,14,CZ041,0.0,6.0,1.0,3.0
2020-03-31,14,CZ042,0.0,55.0,0.0,0.0
2020-03-31,14,CZ051,0.0,22.0,0.0,2.0
2020-03-31,14,CZ052,0.0,11.0,0.0,0.0
2020-03-31,14,CZ053,0.0,25.0,0.0,0.0
2020-03-31,14,CZ063,0.0,7.0,0.0,1.0
2020-03-31,14,CZ064,0.0,9.0,0.0,3.0
2020-03-31,14,CZ071,0.0,19.0,1.0,0.0
2020-03-31,14,CZ072,0.0,16.0,0.0,0.0
2020-03-31,14,CZ080,0.0,13.0,1.0,1.0
2020-04-01,14,CZ010,0.0,78.0,3.0,12.0
2020-04-01,14,CZ020,0.0,26.0,1.0,4.0
2020-04-01,14,CZ031,0.0,9.0,0.0,1.0
2020-04-01,14,CZ032,0.0,11.0,0.0,7.0
2020-04-01,14,CZ041,0.0,8.0,1.0,2.0
2020-04-01,14,CZ042,0.0,12.0,1.0,1.0
2020-04-01,14,CZ051,0.0,17.0,0.0,1.0
2020-04-01,14,CZ052,0.0,3.0,0.0,1.0
2020-04-01,14,CZ053,0.0,14.0,0.0,6.0
2020-04-01,14,CZ063,0.0,9.0,0.0,0.0
2020-04-01,14,CZ064,0.0,35.0,1.0,4.0
2020-04-01,14,CZ071,0.0,31.0,0.0,1.0
2020-04-01,14,CZ072,0.0,10.0,0.0,5.0
2020-04-01,14,CZ080,0.0,19.0,1.0,1.0
2020-04-02,14,CZ010,0.0,80.0,2.0,12.0
2020-04-02,14,CZ020,0.0,22.0,1.0,6.0
2020-04-02,14,CZ031,0.0,7.0,0.0,0.0
2020-04-02,14,CZ032,0.0,10.0,0.0,4.0
2020-04-02,14,CZ041,0.0,10.0,0.0,1.0
2020-04-02,14,CZ042,0.0,46.0,0.0,4.0
2020-04-02,14,CZ051,0.0,6.0,0.0,0.0
2020-04-02,14,CZ052,0.0,10.0,1.0,3.0
2020-04-02,14,CZ053,0.0,8.0,0.0,2.0
2020-04-02,14,CZ063,0.0,4.0,0.0,1.0
2020-04-02,14,CZ064,0.0,19.0,1.0,1.0
2020-04-02,14,CZ071,0.0,24.0,1.0,4.0
2020-04-02,14,CZ072,0.0,3.0,0.0,1.0
2020-04-02,14,CZ080,0.0,15.0,0.0,2.0
2020-04-03,14,CZ010,0.0,62.0,4.0,23.0
2020-04-03,14,CZ020,0.0,39.0,0.0,9.0
2020-04-03,14,CZ031,0.0,2.0,0.0,0.0
2020-04-03,14,CZ032,0.0,30.0,2.0,1.0
2020-04-03,14,CZ041,0.0,14.0,0.0,2.0
2020-04-03,14,CZ042,0.0,26.0,1.0,4.0
2020-04-03,14,CZ051,0.0,8.0,0.0,0.0
2020-04-03,14,CZ052,0.0,12.0,0.0,1.0
2020-04-03,14,CZ053,0.0,31.0,0.0,1.0
2020-04-03,14,CZ063,0.0,3.0,0.0,1.0
2020-04-03,14,CZ064,0.0,15.0,0.0,4.0
2020-04-03,14,CZ071,0.0,28.0,0.0,3.0
2020-04-03,14,CZ072,0.0,31.0,0.0,17.0
2020-04-03,14,CZ080,0.0,29.0,1.0,2.0
2020-04-04,14,CZ010,0.0,25.0,5.0,21.0
2020-04-04,14,CZ020,0.0,34.0,2.0,1.0
2020-04-04,14,CZ031,0.0,1.0,0.0,0.0
2020-04-04,14,CZ032,0.0,36.0,0.0,4.0
2020-04-04,14,CZ041,0.0,14.0,0.0,0.0
2020-04-04,14,CZ042,0.0,3.0,0.0,3.0
2020-04-04,14,CZ051,0.0,5.0,0.0,1.0
2020-04-04,14,CZ052,0.0,8.0,0.0,0.0
2020-04-04,14,CZ053,0.0,16.0,0.0,0.0
2020-04-04,14,CZ063,0.0,3.0,1.0,0.0
