"","dates","a","c","b","d","S","E","I","R","D","T","Tcum"
"225","2020-04-27",0.0101271498715505,1,0.0904213654336752,0.00985991350984353,0.219002385293449,0.000437297445485338,0.0573698902771102,0.540874308931811,0.182316118052144,7754,230412
"226","2020-04-28",0.0101271498715505,1,0.0904213654336752,0.00985991350984353,0.218881255332057,0.000467633304797709,0.0519822622577928,0.545814078486583,0.182854770618769,8741,239153
"227","2020-04-29",0.0101271498715505,1,0.0904213654336752,0.00985991350984353,0.218771544265707,0.00048213833663157,0.047112878647788,0.550290536896415,0.183342901853458,7322,246475
"228","2020-04-30",0.0101271498715505,1,0.0904213654336752,0.00985991350984353,0.218672146084332,0.000484682812802845,0.0427096660575304,0.554348145088737,0.183785359956598,7396,253871
"229","2020-05-01",0.0101271498715505,1,0.0904213654336752,0.00985991350984353,0.218582067235639,0.000478333717540555,0.0387261758318404,0.558026915200602,0.184186508014379,4497,258368
"230","2020-05-02",0.0101271498715505,1,0.0904213654336752,0.00985991350984353,0.218500414249555,0.000465511550633612,0.0351209101813586,0.561362887963665,0.184550276054789,3885,262253
"231","2020-05-03",0.0101271498715505,1,0.0904213654336752,0.00985991350984353,0.218426382883949,0.000448117331656136,0.0318567394712058,0.564388553392057,0.184880206921134,3881,266134
"232","2020-05-04",0.0101271498715505,1,0.0904213654336752,0.00985991350984353,0.218359248579376,0.000427635398742627,0.0289003968576214,0.567133222372522,0.185179496791739,7756,273890
"233","2020-05-05",0.0101271498715505,1,0.0904213654336752,0.00985991350984353,0.218298358043861,0.000405216551385245,0.0262220387409974,0.569623355613831,0.185451031049926,9383,283273
"234","2020-05-06",0.0101271498715505,1,0.0904213654336752,0.00985991350984353,0.218243121816293,0.000381745237129351,0.023794861384835,0.571882855457497,0.185697416104246,8052,291325
"235","2020-05-07",0.0101271498715505,1,0.0904213654336752,0.00985991350984353,0.218193007679943,0.00035789379066876,0.0215947656059078,0.573933325251806,0.185921007671675,7599,298924
"236","2020-05-08",0.0101271498715505,1,0.0904213654336752,0.00985991350984353,0.218147534816693,0.000334166171245882,0.0196000627295478,0.575794300319265,0.186123935963248,4510,303434
"237","2020-05-09",0.0101271498715505,1,0.0904213654336752,0.00985991350984353,0.218106268608508,0.00031093318648302,0.017791216073053,0.57748345398205,0.186308128149906,3788,307222
"238","2020-05-10",0.0101271498715505,1,0.0904213654336752,0.00985991350984353,0.218068816006042,0.000288460818307641,0.0161506131087181,0.579016781632621,0.186475328434312,4052,311274
"239","2020-05-10",0.224197876586835,1,0.00245263103741186,0.00975372587330639,0.217282889327974,0.000948399272302632,0.0160800269965215,0.579056279438708,0.186632404964493,4052,311274
"240","2020-05-11",0.224197876586835,1,0.00245263103741186,0.00975372587330639,0.216500220116951,0.00148584663118878,0.0161287813804812,0.579095755771722,0.186789396099657,7809,319083
"241","2020-05-12",0.224197876586835,1,0.00245263103741186,0.00975372587330639,0.215715601029183,0.00192770842154944,0.0162738675449939,0.579135473957851,0.186947349046423,8755,327838
"242","2020-05-13",0.224197876586835,1,0.00245263103741186,0.00975372587330639,0.214924883019227,0.00229505778024043,0.0164972998142697,0.579175647301918,0.187107112084345,7687,335525
"243","2020-05-14",0.224197876586835,1,0.00245263103741186,0.00975372587330639,0.214124744149809,0.00260440135038114,0.0167850264512648,0.57921645001705,0.187269378031494,6902,342427
"244","2020-05-15",0.224197876586835,1,0.00245263103741186,0.00975372587330639,0.213312509700547,0.00286866941094474,0.0171260768171482,0.579258025784776,0.187434718286584,6790,349217
"245","2020-05-16",0.224197876586835,1,0.00245263103741186,0.00975372587330639,0.21248601211282,0.00309799057219635,0.0175118933647065,0.579300494459327,0.18760360949095,4197,353414
